id	type	modified	language	rightsHolder	references	institutionID	institutionCode	collectionCode	ownerInstitutionCode	basisOfRecord	informationWithheld	dynamicProperties	catalogNumber	recordNumber	recordedBy	individualCount	sex	lifeStage	preparations	disposition	otherCatalogNumbers	associatedMedia	associatedOccurrences	associatedSequences	associatedTaxa	samplingProtocol	eventDate	startDayOfYear	year	month	day	verbatimEventDate	habitat	fieldNumber	higherGeography	continent	waterBody	islandGroup	island	country	stateProvince	county	locality	verbatimElevation	minimumElevationInMeters	maximumElevationInMeters	minimumDepthInMeters	maximumDepthInMeters	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	georeferencedBy	georeferenceProtocol	georeferenceSources	georeferenceRemarks	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lithostratigraphicTerms	group	formation	member	bed	identifiedBy	dateIdentified	identificationRemarks	identificationQualifier	identificationVerificationStatus	typeStatus	scientificName	higherClassification	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	nomenclaturalCode
MCZ:Herp:R-147028	PhysicalObject	2013-01-29 11:06:01.0	en	President and Fellows of Harvard College	http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-147028	b4640710-8e03-11d8-b956-b8a03c50a862	MCZ	Herp	Museum of Comparative Zoology, Harvard University	PreservedSpecimen			R-147028	MCZ FS-F20605	Kenneth I. Miyata	1			whole animal (ethanol)	unknown	collector number=MCZ FS-F20605; muse location number=ZR147028						1975-07-29	0				29/7/1975-29/7/1975			South America, Ecuador, Los Rios	South America				Ecuador	Los Rios		Ecuador: Pichincha: 46 km from Quevedo on rd to Santo Domingo de los Colorados						-0.64310449d	-79.44306183d	decimal degrees	-.64310449	-79.44306183	WGS84	3794	3794	Elisa Bonaccorso (KUNHM)	MaNIS/HerpNET/ORNIS Georeferencing Guidelines	Map SA17-3 (Santo Domingo de los Colorados) map 1:250,000. IGM Ecuador															Catalog				unverified		Anolis festae	Animalia Chordata Reptilia Lepidosauromorpha Squamata Sauria Iguanidae Anolis festae	Animalia	Chordata	Reptilia	Squamata	Iguanidae	Anolis	festae					ICZN
MCZ:Herp:R-147029	PhysicalObject	2013-01-29 11:06:01.0	en	President and Fellows of Harvard College	http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-147029	b4640710-8e03-11d8-b956-b8a03c50a862	MCZ	Herp	Museum of Comparative Zoology, Harvard University	PreservedSpecimen			R-147029	MCZ FS-F20634	Kenneth I. Miyata	1			whole animal (ethanol)	unknown	collector number=MCZ FS-F20634; muse location number=ZR147029						1975-07-26	0				26/7/1975-26/7/1975			South America, Ecuador, Pichincha	South America				Ecuador	Pichincha		Ecuador: Pichincha: 3 km from Patricia Pilar on rd to Rio Bimbe						-0.59400427d	-79.35085297d	decimal degrees	-.59400427	-79.35085297	WGS84	2644	2644	Elisa Bonaccorso (KUNHM)	MaNIS/HerpNET/ORNIS Georeferencing Guidelines	Map SA17-3 (Santo Domingo de los Colorados) map 1:250,000. IGM Ecuador															Catalog				unverified		Anolis festae	Animalia Chordata Reptilia Lepidosauromorpha Squamata Sauria Iguanidae Anolis festae	Animalia	Chordata	Reptilia	Squamata	Iguanidae	Anolis	festae					ICZN
MCZ:Herp:R-147030	PhysicalObject	2013-01-29 11:06:01.0	en	President and Fellows of Harvard College	http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-147030	b4640710-8e03-11d8-b956-b8a03c50a862	MCZ	Herp	Museum of Comparative Zoology, Harvard University	PreservedSpecimen			R-147030	MCZ FS-F20813	Kenneth I. Miyata	1			whole animal (ethanol)	unknown	collector number=MCZ FS-F20813; muse location number=ZR147030						1975-08-11	0				11/8/1975-11/8/1975			South America, Ecuador, Los Rios	South America				Ecuador	Los Rios		Ecuador: Pichincha: 4 km S, 2 km E Quevedo						-1.06680703d	-79.44765472d	decimal degrees	-1.06680703	-79.44765472	WGS84	4145	4145	Elisa Bonaccorso (KUNHM)	MaNIS/HerpNET/ORNIS Georeferencing Guidelines	Map SA17-7 (Babahoyo) map 1:250,000. IGM Ecuador	many roads S Quevedo, assumed by air; original coordinates in deg,min,sec for Quevedo														Catalog				unverified		Anolis festae	Animalia Chordata Reptilia Lepidosauromorpha Squamata Sauria Iguanidae Anolis festae	Animalia	Chordata	Reptilia	Squamata	Iguanidae	Anolis	festae					ICZN
MCZ:Herp:R-147031	PhysicalObject	2013-01-29 11:06:01.0	en	President and Fellows of Harvard College	http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-147031	b4640710-8e03-11d8-b956-b8a03c50a862	MCZ	Herp	Museum of Comparative Zoology, Harvard University	PreservedSpecimen			R-147031	MCZ FS-F20814	Kenneth I. Miyata	1			whole animal (ethanol)	unknown	collector number=MCZ FS-F20814; muse location number=ZR147030						1975-08-11	0				11/8/1975-11/8/1975			South America, Ecuador, Los Rios	South America				Ecuador	Los Rios		Ecuador: Pichincha: 4 km S, 2 km E Quevedo						-1.06680703d	-79.44765472d	decimal degrees	-1.06680703	-79.44765472	WGS84	4145	4145	Elisa Bonaccorso (KUNHM)	MaNIS/HerpNET/ORNIS Georeferencing Guidelines	Map SA17-7 (Babahoyo) map 1:250,000. IGM Ecuador	many roads S Quevedo, assumed by air; original coordinates in deg,min,sec for Quevedo														Catalog				unverified		Anolis festae	Animalia Chordata Reptilia Lepidosauromorpha Squamata Sauria Iguanidae Anolis festae	Animalia	Chordata	Reptilia	Squamata	Iguanidae	Anolis	festae					ICZN
MCZ:Herp:R-147032	PhysicalObject	2013-01-29 11:06:01.0	en	President and Fellows of Harvard College	http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-147032	b4640710-8e03-11d8-b956-b8a03c50a862	MCZ	Herp	Museum of Comparative Zoology, Harvard University	PreservedSpecimen			R-147032	MCZ FS-F20815	Kenneth I. Miyata	1			whole animal (ethanol)	unknown	collector number=MCZ FS-F20815; muse location number=ZR147030						1975-08-11	0				11/8/1975-11/8/1975			South America, Ecuador, Los Rios	South America				Ecuador	Los Rios		Ecuador: Pichincha: 4 km S, 2 km E Quevedo						-1.06680703d	-79.44765472d	decimal degrees	-1.06680703	-79.44765472	WGS84	4145	4145	Elisa Bonaccorso (KUNHM)	MaNIS/HerpNET/ORNIS Georeferencing Guidelines	Map SA17-7 (Babahoyo) map 1:250,000. IGM Ecuador	many roads S Quevedo, assumed by air; original coordinates in deg,min,sec for Quevedo														Catalog				unverified		Anolis festae	Animalia Chordata Reptilia Lepidosauromorpha Squamata Sauria Iguanidae Anolis festae	Animalia	Chordata	Reptilia	Squamata	Iguanidae	Anolis	festae					ICZN
MCZ:Herp:R-147033	PhysicalObject	2013-01-29 11:06:01.0	en	President and Fellows of Harvard College	http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-147033	b4640710-8e03-11d8-b956-b8a03c50a862	MCZ	Herp	Museum of Comparative Zoology, Harvard University	PreservedSpecimen			R-147033	MCZ FS-F20823	Kenneth I. Miyata	1			whole animal (ethanol)	unknown	collector number=MCZ FS-F20823; muse location number=ZR147033						1975-08-12	0				12/8/1975-12/8/1975			South America, Ecuador, Pichincha	South America				Ecuador	Pichincha		Ecuador: Pichincha: 41 km from Santo Domingo de los Colorados on rd to Quevedo						-0.53900391d	-79.37394714d	decimal degrees	-.53900391	-79.37394714	WGS84	3994	3994	Elisa Bonaccorso (KUNHM)	MaNIS/HerpNET/ORNIS Georeferencing Guidelines	Map SA17-3 (Santo Domingo de los Colorados) map 1:250,000. IGM Ecuador															Catalog				unverified		Anolis festae	Animalia Chordata Reptilia Lepidosauromorpha Squamata Sauria Iguanidae Anolis festae	Animalia	Chordata	Reptilia	Squamata	Iguanidae	Anolis	festae					ICZN
MCZ:Herp:R-147034	PhysicalObject	2013-01-29 11:06:01.0	en	President and Fellows of Harvard College	http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-147034	b4640710-8e03-11d8-b956-b8a03c50a862	MCZ	Herp	Museum of Comparative Zoology, Harvard University	PreservedSpecimen			R-147034	MCZ FS-F20824	Kenneth I. Miyata	1			whole animal (ethanol)	unknown	collector number=MCZ FS-F20824; muse location number=ZR147033						1975-08-12	0				12/8/1975-12/8/1975			South America, Ecuador, Pichincha	South America				Ecuador	Pichincha		Ecuador: Pichincha: 41 km from Santo Domingo de los Colorados on rd to Quevedo						-0.53900391d	-79.37394714d	decimal degrees	-.53900391	-79.37394714	WGS84	3994	3994	Elisa Bonaccorso (KUNHM)	MaNIS/HerpNET/ORNIS Georeferencing Guidelines	Map SA17-3 (Santo Domingo de los Colorados) map 1:250,000. IGM Ecuador															Catalog				unverified		Anolis festae	Animalia Chordata Reptilia Lepidosauromorpha Squamata Sauria Iguanidae Anolis festae	Animalia	Chordata	Reptilia	Squamata	Iguanidae	Anolis	festae					ICZN
MCZ:Herp:R-147035	PhysicalObject	2013-01-29 11:06:01.0	en	President and Fellows of Harvard College	http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-147035	b4640710-8e03-11d8-b956-b8a03c50a862	MCZ	Herp	Museum of Comparative Zoology, Harvard University	PreservedSpecimen			R-147035	MCZ FS-F20825	Kenneth I. Miyata	1			whole animal (ethanol)	unknown	collector number=MCZ FS-F20825; muse location number=ZR147033						1975-08-12	0				12/8/1975-12/8/1975			South America, Ecuador, Pichincha	South America				Ecuador	Pichincha		Ecuador: Pichincha: 41 km from Santo Domingo de los Colorados on rd to Quevedo						-0.53900391d	-79.37394714d	decimal degrees	-.53900391	-79.37394714	WGS84	3994	3994	Elisa Bonaccorso (KUNHM)	MaNIS/HerpNET/ORNIS Georeferencing Guidelines	Map SA17-3 (Santo Domingo de los Colorados) map 1:250,000. IGM Ecuador															Catalog				unverified		Anolis festae	Animalia Chordata Reptilia Lepidosauromorpha Squamata Sauria Iguanidae Anolis festae	Animalia	Chordata	Reptilia	Squamata	Iguanidae	Anolis	festae					ICZN
MCZ:Herp:R-147036	PhysicalObject	2013-01-29 11:06:01.0	en	President and Fellows of Harvard College	http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-147036	b4640710-8e03-11d8-b956-b8a03c50a862	MCZ	Herp	Museum of Comparative Zoology, Harvard University	PreservedSpecimen			R-147036	MCZ FS-F20826	Kenneth I. Miyata	1			whole animal (ethanol)	unknown	collector number=MCZ FS-F20826; muse location number=ZR147033						1975-08-12	0				12/8/1975-12/8/1975			South America, Ecuador, Pichincha	South America				Ecuador	Pichincha		Ecuador: Pichincha: 41 km from Santo Domingo de los Colorados on rd to Quevedo						-0.53900391d	-79.37394714d	decimal degrees	-.53900391	-79.37394714	WGS84	3994	3994	Elisa Bonaccorso (KUNHM)	MaNIS/HerpNET/ORNIS Georeferencing Guidelines	Map SA17-3 (Santo Domingo de los Colorados) map 1:250,000. IGM Ecuador															Catalog				unverified		Anolis festae	Animalia Chordata Reptilia Lepidosauromorpha Squamata Sauria Iguanidae Anolis festae	Animalia	Chordata	Reptilia	Squamata	Iguanidae	Anolis	festae					ICZN
